"Keycode","Keyname","Keycount"
49,"1",1061
50,"2",757
51,"3",629
52,"4",502
53,"5",468
54,"6",291
55,"7",185
56,"8",383
57,"9",573
48,"0",2144
65,"A",17914
66,"B",3332
67,"C",6069
68,"D",7055
69,"E",20211
70,"F",3218
71,"G",5057
72,"H",7591
73,"I",14825
74,"J",632
75,"K",3830
76,"L",9458
77,"M",6706
78,"N",11085
79,"O",14238
80,"P",3619
81,"Q",1004
82,"R",10269
83,"S",13883
84,"T",16864
85,"U",6484
86,"V",2774
87,"W",5943
88,"X",786
89,"Y",5429
90,"Z",1234
16777219,"Backspace",37580
16777220,"Enter",12029
16777217,"Tab",8951
16777252,"Capslock",289
16781922,"Left Shift",4994
16781917,"Left Ctrl",1587
16781905,"Left Cmd",23012
16781904,"Right Cmd",119
16781915,"Left Alt",2949
16781914,"Right Alt",163
16781916,"Right Ctrl",0
16781921,"Right Shift",1258
16777234,"Left",6377
16777237,"Down",18341
16777236,"Right",7356
16777235,"Up",9667
16777222,"Insert",0
16777232,"Home",3
16777238,"PageUp",0
16777223,"Delete",1
16777233,"End",1
16777239,"PageDown",0
16777216,"Escape",2495
32,"Space",42175
16777264,"F1",0
16777265,"F2",0
16777266,"F3",0
16777267,"F4",0
16777268,"F5",0
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",0
195,"~",71
45,"-",553
61,"=",397
91,"[",183
93,"]",114
92,"\",140
59,";",351
39,"'",1994
44,",",847
46,".",1363
47,"/",785
