"Keycode","Keyname","Keycount"
49,"1",0
50,"2",0
51,"3",1
52,"4",0
53,"5",0
54,"6",2
55,"7",0
56,"8",0
57,"9",0
48,"0",0
65,"A",9
66,"B",2
67,"C",11
68,"D",7
69,"E",12
70,"F",2
71,"G",6
72,"H",2
73,"I",8
74,"J",0
75,"K",4
76,"L",9
77,"M",3
78,"N",4
79,"O",8
80,"P",2
81,"Q",0
82,"R",4
83,"S",8
84,"T",9
85,"U",2
86,"V",3
87,"W",4
88,"X",0
89,"Y",9
90,"Z",0
16777219,"Backspace",18
16777220,"Enter",20
16777217,"Tab",2
16777252,"Capslock",0
16781922,"Left Shift",2
16781917,"Left Ctrl",0
16781905,"Left Cmd",19
16781904,"Right Cmd",0
16781915,"Left Alt",0
16781914,"Right Alt",0
16781916,"Right Ctrl",0
16781921,"Right Shift",0
16777234,"Left",2
16777237,"Down",0
16777236,"Right",2
16777235,"Up",5
16777222,"Insert",0
16777232,"Home",0
16777238,"PageUp",0
16777223,"Delete",0
16777233,"End",0
16777239,"PageDown",0
16777216,"Escape",1
32,"Space",43
16777264,"F1",0
16777265,"F2",0
16777266,"F3",0
16777267,"F4",0
16777268,"F5",0
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",0
195,"~",0
45,"-",0
61,"=",0
91,"[",0
93,"]",0
92,"\",0
59,";",0
39,"'",0
44,",",0
46,".",0
47,"/",1
