"Keycode","Keyname","Keycount"
49,"1",72
50,"2",41
51,"3",30
52,"4",19
53,"5",12
54,"6",24
55,"7",24
56,"8",20
57,"9",42
48,"0",54
65,"A",314
66,"B",66
67,"C",142
68,"D",194
69,"E",514
70,"F",67
71,"G",165
72,"H",242
73,"I",231
74,"J",26
75,"K",63
76,"L",271
77,"M",184
78,"N",265
79,"O",330
80,"P",54
81,"Q",3
82,"R",275
83,"S",468
84,"T",498
85,"U",166
86,"V",31
87,"W",83
88,"X",70
89,"Y",54
90,"Z",11
16777219,"Backspace",1222
16777220,"Enter",1496
16777217,"Tab",24
16777252,"Capslock",0
16781922,"Left Shift",307
16781917,"Left Ctrl",344
16781915,"Left Alt",33
16781914,"Right Alt",0
16781916,"Right Ctrl",1
16781921,"Right Shift",73
16777234,"Left",443
16777237,"Down",190
16777236,"Right",867
16777235,"Up",193
16777222,"Insert",0
16777232,"Home",20
16777238,"PageUp",3
16777223,"Delete",3
16777233,"End",29
16777239,"PageDown",12
16777216,"Escape",8
32,"Space",1096
16777264,"F1",0
16777265,"F2",0
16777266,"F3",0
16777267,"F4",0
16777268,"F5",0
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",0
195,"~",0
45,"-",17
61,"=",13
91,"[",11
93,"]",14
92,"\",10
59,";",32
39,"'",10
44,",",63
46,".",131
47,"/",7
