"Keycode","Keyname","Keycount"
49,"1",889
50,"2",588
51,"3",683
52,"4",317
53,"5",315
54,"6",456
55,"7",353
56,"8",453
57,"9",652
48,"0",1223
65,"A",7294
66,"B",1599
67,"C",3398
68,"D",2547
69,"E",8637
70,"F",1592
71,"G",2693
72,"H",3078
73,"I",5821
74,"J",359
75,"K",1193
76,"L",4763
77,"M",2635
78,"N",4628
79,"O",5653
80,"P",1770
81,"Q",187
82,"R",5279
83,"S",8376
84,"T",7072
85,"U",2665
86,"V",1579
87,"W",1884
88,"X",755
89,"Y",1343
90,"Z",1334
16777219,"Backspace",22381
16777220,"Enter",8755
16777217,"Tab",1868
16777252,"Capslock",231
16781922,"Left Shift",4622
16781917,"Left Ctrl",10482
16781915,"Left Alt",711
16781914,"Right Alt",14
16781916,"Right Ctrl",33
16781921,"Right Shift",949
16777234,"Left",5645
16777237,"Down",12745
16777236,"Right",7375
16777235,"Up",9963
16777222,"Insert",0
16777232,"Home",1107
16777238,"PageUp",389
16777223,"Delete",229
16777233,"End",1106
16777239,"PageDown",686
16777216,"Escape",2268
32,"Space",14545
16777264,"F1",3
16777265,"F2",33
16777266,"F3",1
16777267,"F4",34
16777268,"F5",1
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",0
16777274,"F11",0
16777275,"F12",0
195,"~",41
45,"-",460
61,"=",374
91,"[",116
93,"]",88
92,"\",144
59,";",433
39,"'",498
44,",",718
46,".",1084
47,"/",399
